l, theta,range_max
0.019,-2.35619,5.6
0.019,-2.35006,5.6
0.019,-2.34392,5.6
0.019,-2.33779,5.6
0.019,-2.33165,5.6
0.019,-2.32551,5.6
0.019,-2.31938,5.6
0.019,-2.31324,5.6
0.019,-2.30711,5.6
0.019,-2.30097,5.6
0.019,-2.29484,5.6
0.019,-2.2887,5.6
0.019,-2.28256,5.6
0.019,-2.27643,5.6
0.019,-2.27029,5.6
0.019,-2.26416,5.6
0.019,-2.25802,5.6
0.019,-2.25188,5.6
0.019,-2.24575,5.6
0.019,-2.23961,5.6
0.019,-2.23348,5.6
0.019,-2.22734,5.6
0.019,-2.2212,5.6
0.019,-2.21507,5.6
0.019,-2.20893,5.6
0.019,-2.2028,5.6
0.019,-2.19666,5.6
0.019,-2.19052,5.6
0.019,-2.18439,5.6
0.019,-2.17825,5.6
0.019,-2.17212,5.6
0.019,-2.16598,5.6
0.019,-2.15984,5.6
0.019,-2.15371,5.6
0.019,-2.14757,5.6
0.019,-2.14144,5.6
0.019,-2.1353,5.6
0.019,-2.12917,5.6
0.019,-2.12303,5.6
0.019,-2.11689,5.6
0.019,-2.11076,5.6
0.019,-2.10462,5.6
0.019,-2.09849,5.6
0.019,-2.09235,5.6
1.539,-2.08621,5.6
1.539,-2.08008,5.6
1.539,-2.07394,5.6
1.532,-2.06781,5.6
1.527,-2.06167,5.6
1.526,-2.05553,5.6
1.512,-2.0494,5.6
1.512,-2.04326,5.6
1.511,-2.03713,5.6
1.511,-2.03099,5.6
1.511,-2.02485,5.6
1.501,-2.01872,5.6
1.492,-2.01258,5.6
1.491,-2.00645,5.6
1.49,-2.00031,5.6
1.489,-1.99417,5.6
1.489,-1.98804,5.6
1.489,-1.9819,5.6
1.489,-1.97577,5.6
1.489,-1.96963,5.6
1.491,-1.9635,5.6
1.491,-1.95736,5.6
1.492,-1.95122,5.6
1.497,-1.94509,5.6
1.498,-1.93895,5.6
1.5,-1.93282,5.6
1.503,-1.92668,5.6
1.51,-1.92054,5.6
1.522,-1.91441,5.6
1.525,-1.90827,5.6
1.527,-1.90214,5.6
1.537,-1.896,5.6
1.546,-1.88986,5.6
1.555,-1.88373,5.6
1.56,-1.87759,5.6
1.56,-1.87146,5.6
1.56,-1.86532,5.6
1.512,-1.85918,5.6
1.495,-1.85305,5.6
1.492,-1.84691,5.6
1.492,-1.84078,5.6
1.492,-1.83464,5.6
1.501,-1.82851,5.6
1.51,-1.82237,5.6
1.563,-1.81623,5.6
4.37,-1.8101,5.6
4.374,-1.80396,5.6
4.376,-1.79783,5.6
4.389,-1.79169,5.6
4.391,-1.78555,5.6
4.406,-1.77942,5.6
4.411,-1.77328,5.6
4.422,-1.76715,5.6
4.424,-1.76101,5.6
4.44,-1.75487,5.6
4.442,-1.74874,5.6
4.463,-1.7426,5.6
4.473,-1.73647,5.6
4.474,-1.73033,5.6
4.474,-1.72419,5.6
4.487,-1.71806,5.6
4.494,-1.71192,5.6
4.498,-1.70579,5.6
4.505,-1.69965,5.6
4.516,-1.69351,5.6
4.522,-1.68738,5.6
4.533,-1.68124,5.6
4.558,-1.67511,5.6
4.56,-1.66897,5.6
4.565,-1.66284,5.6
4.565,-1.6567,5.6
4.578,-1.65056,5.6
4.565,-1.64443,5.6
4.496,-1.63829,5.6
4.496,-1.63216,5.6
4.37,-1.62602,5.6
4.37,-1.61988,5.6
0.007,-1.61375,5.6
nan,-1.60761,5.6
0.007,-1.60148,5.6
4.075,-1.59534,5.6
3.932,-1.5892,5.6
3.878,-1.58307,5.6
3.842,-1.57693,5.6
3.762,-1.5708,5.6
3.751,-1.56466,5.6
3.701,-1.55852,5.6
3.653,-1.55239,5.6
3.611,-1.54625,5.6
3.575,-1.54012,5.6
3.536,-1.53398,5.6
3.502,-1.52784,5.6
3.443,-1.52171,5.6
3.431,-1.51557,5.6
3.377,-1.50944,5.6
3.33,-1.5033,5.6
3.305,-1.49717,5.6
3.274,-1.49103,5.6
3.226,-1.48489,5.6
3.19,-1.47876,5.6
3.167,-1.47262,5.6
3.136,-1.46649,5.6
3.099,-1.46035,5.6
3.08,-1.45421,5.6
3.038,-1.44808,5.6
3.003,-1.44194,5.6
2.989,-1.43581,5.6
2.952,-1.42967,5.6
2.93,-1.42353,5.6
2.902,-1.4174,5.6
2.879,-1.41126,5.6
2.853,-1.40513,5.6
2.826,-1.39899,5.6
2.805,-1.39285,5.6
2.779,-1.38672,5.6
2.765,-1.38058,5.6
2.75,-1.37445,5.6
2.715,-1.36831,5.6
2.71,-1.36217,5.6
2.68,-1.35604,5.6
2.669,-1.3499,5.6
2.646,-1.34377,5.6
2.62,-1.33763,5.6
2.603,-1.3315,5.6
2.571,-1.32536,5.6
2.571,-1.31922,5.6
2.545,-1.31309,5.6
2.524,-1.30695,5.6
2.518,-1.30082,5.6
2.496,-1.29468,5.6
2.479,-1.28854,5.6
2.459,-1.28241,5.6
2.437,-1.27627,5.6
2.423,-1.27014,5.6
2.397,-1.264,5.6
2.387,-1.25786,5.6
2.379,-1.25173,5.6
2.353,-1.24559,5.6
2.352,-1.23946,5.6
2.34,-1.23332,5.6
2.328,-1.22718,5.6
2.308,-1.22105,5.6
2.294,-1.21491,5.6
2.269,-1.20878,5.6
2.265,-1.20264,5.6
2.257,-1.1965,5.6
2.253,-1.19037,5.6
2.219,-1.18423,5.6
2.217,-1.1781,5.6
2.214,-1.17196,5.6
2.186,-1.16583,5.6
2.171,-1.15969,5.6
2.169,-1.15355,5.6
2.15,-1.14742,5.6
2.14,-1.14128,5.6
2.132,-1.13515,5.6
2.106,-1.12901,5.6
2.104,-1.12287,5.6
2.103,-1.11674,5.6
2.087,-1.1106,5.6
2.074,-1.10447,5.6
2.071,-1.09833,5.6
2.069,-1.09219,5.6
2.047,-1.08606,5.6
2.038,-1.07992,5.6
2.032,-1.07379,5.6
2.018,-1.06765,5.6
2.009,-1.06151,5.6
2.009,-1.05538,5.6
1.993,-1.04924,5.6
1.987,-1.04311,5.6
1.977,-1.03697,5.6
1.969,-1.03084,5.6
1.967,-1.0247,5.6
1.957,-1.01856,5.6
1.951,-1.01243,5.6
1.943,-1.00629,5.6
1.933,-1.00016,5.6
1.933,-0.99402,5.6
1.918,-0.987884,5.6
1.913,-0.981748,5.6
1.906,-0.975612,5.6
1.895,-0.969476,5.6
1.891,-0.96334,5.6
1.883,-0.957204,5.6
1.883,-0.951068,5.6
1.881,-0.944932,5.6
1.879,-0.938796,5.6
1.867,-0.93266,5.6
1.85,-0.926524,5.6
1.85,-0.920388,5.6
1.846,-0.914253,5.6
1.84,-0.908117,5.6
