l, theta,range_max
4.865,-0.908117,5.6
nan,-0.901981,5.6
nan,-0.895845,5.6
4.865,-0.889709,5.6
4.854,-0.883573,5.6
0.591,-0.877437,5.6
0.59,-0.871301,5.6
0.585,-0.865165,5.6
0.585,-0.859029,5.6
0.59,-0.852893,5.6
0.59,-0.846757,5.6
0.591,-0.840621,5.6
0.607,-0.834486,5.6
0.607,-0.82835,5.6
0.607,-0.822214,5.6
0.606,-0.816078,5.6
0.604,-0.809942,5.6
0.601,-0.803806,5.6
0.599,-0.79767,5.6
0.599,-0.791534,5.6
0.599,-0.785398,5.6
4.608,-0.779262,5.6
4.608,-0.773126,5.6
4.608,-0.76699,5.6
4.608,-0.760854,5.6
4.597,-0.754719,5.6
4.592,-0.748583,5.6
0.591,-0.742447,5.6
0.584,-0.736311,5.6
0.581,-0.730175,5.6
0.58,-0.724039,5.6
0.572,-0.717903,5.6
0.572,-0.711767,5.6
0.571,-0.705631,5.6
0.564,-0.699495,5.6
0.564,-0.693359,5.6
0.563,-0.687223,5.6
0.561,-0.681087,5.6
0.559,-0.674952,5.6
0.558,-0.668816,5.6
0.556,-0.66268,5.6
0.556,-0.656544,5.6
0.551,-0.650408,5.6
0.549,-0.644272,5.6
0.545,-0.638136,5.6
0.545,-0.632,5.6
0.545,-0.625864,5.6
0.544,-0.619728,5.6
0.542,-0.613592,5.6
0.547,-0.607456,5.6
0.547,-0.60132,5.6
0.542,-0.595184,5.6
0.542,-0.589049,5.6
0.538,-0.582913,5.6
0.538,-0.576777,5.6
0.531,-0.570641,5.6
0.521,-0.564505,5.6
0.521,-0.558369,5.6
0.521,-0.552233,5.6
0.522,-0.546097,5.6
0.522,-0.539961,5.6
0.522,-0.533825,5.6
0.524,-0.527689,5.6
0.522,-0.521553,5.6
0.52,-0.515417,5.6
0.52,-0.509282,5.6
0.52,-0.503146,5.6
0.519,-0.49701,5.6
0.52,-0.490874,5.6
0.519,-0.484738,5.6
0.517,-0.478602,5.6
0.517,-0.472466,5.6
0.518,-0.46633,5.6
0.517,-0.460194,5.6
0.518,-0.454058,5.6
0.523,-0.447922,5.6
0.518,-0.441786,5.6
0.522,-0.43565,5.6
0.522,-0.429515,5.6
0.522,-0.423379,5.6
0.522,-0.417243,5.6
0.522,-0.411107,5.6
0.526,-0.404971,5.6
0.527,-0.398835,5.6
0.527,-0.392699,5.6
0.527,-0.386563,5.6
0.527,-0.380427,5.6
0.527,-0.374291,5.6
0.531,-0.368155,5.6
0.531,-0.362019,5.6
0.531,-0.355884,5.6
0.531,-0.349748,5.6
0.528,-0.343612,5.6
0.528,-0.337476,5.6
0.531,-0.33134,5.6
0.531,-0.325204,5.6
0.528,-0.319068,5.6
0.529,-0.312932,5.6
0.529,-0.306796,5.6
0.525,-0.30066,5.6
0.525,-0.294524,5.6
0.521,-0.288388,5.6
0.51,-0.282252,5.6
0.51,-0.276116,5.6
0.51,-0.269981,5.6
0.51,-0.263845,5.6
0.511,-0.257709,5.6
0.513,-0.251573,5.6
0.515,-0.245437,5.6
0.517,-0.239301,5.6
0.522,-0.233165,5.6
0.529,-0.227029,5.6
0.532,-0.220893,5.6
0.535,-0.214757,5.6
0.535,-0.208621,5.6
0.532,-0.202485,5.6
0.535,-0.196349,5.6
0.528,-0.190214,5.6
0.528,-0.184078,5.6
0.539,-0.177942,5.6
0.54,-0.171806,5.6
0.553,-0.16567,5.6
0.568,-0.159534,5.6
0.568,-0.153398,5.6
0.574,-0.147262,5.6
0.568,-0.141126,5.6
0.568,-0.13499,5.6
0.574,-0.128854,5.6
4.582,-0.122718,5.6
4.582,-0.116582,5.6
4.582,-0.110446,5.6
0.547,-0.104311,5.6
0.543,-0.0981748,5.6
0.538,-0.0920389,5.6
0.543,-0.0859029,5.6
0.544,-0.079767,5.6
0.543,-0.073631,5.6
0.539,-0.0674951,5.6
0.539,-0.0613592,5.6
0.539,-0.0552232,5.6
0.539,-0.0490873,5.6
0.532,-0.0429513,5.6
0.527,-0.0368154,5.6
0.527,-0.0306795,5.6
0.527,-0.0245435,5.6
3.607,-0.0184078,5.6
3.607,-0.0122719,5.6
3.607,-0.00613594,5.6
3.552,0,5.6
3.52,0.00613594,5.6
3.469,0.0122719,5.6
3.413,0.0184078,5.6
3.371,0.0245438,5.6
3.34,0.0306797,5.6
3.296,0.0368156,5.6
3.252,0.0429516,5.6
3.235,0.0490875,5.6
3.179,0.0552235,5.6
3.143,0.0613594,5.6
3.095,0.0674951,5.6
3.069,0.073631,5.6
3.05,0.079767,5.6
2.997,0.0859029,5.6
2.974,0.0920389,5.6
2.947,0.0981748,5.6
2.906,0.104311,5.6
2.882,0.110447,5.6
2.852,0.116583,5.6
2.816,0.122719,5.6
2.795,0.128855,5.6
2.776,0.13499,5.6
2.754,0.141126,5.6
2.727,0.147262,5.6
2.702,0.153398,5.6
2.676,0.159534,5.6
2.654,0.16567,5.6
2.623,0.171806,5.6
2.605,0.177942,5.6
2.584,0.184078,5.6
2.566,0.190214,5.6
2.542,0.19635,5.6
2.524,0.202486,5.6
2.486,0.208622,5.6
