l, theta
0.019,-2.35619
0.019,-2.35006
0.019,-2.34392
0.019,-2.33779
0.019,-2.33165
0.019,-2.32551
0.019,-2.31938
0.019,-2.31324
0.019,-2.30711
0.019,-2.30097
0.019,-2.29484
0.019,-2.2887
0.019,-2.28256
0.019,-2.27643
0.019,-2.27029
0.019,-2.26416
0.019,-2.25802
0.019,-2.25188
0.019,-2.24575
0.019,-2.23961
0.019,-2.23348
0.019,-2.22734
0.019,-2.2212
0.019,-2.21507
0.019,-2.20893
0.019,-2.2028
0.019,-2.19666
0.019,-2.19052
0.019,-2.18439
0.019,-2.17825
0.019,-2.17212
0.019,-2.16598
0.019,-2.15984
0.019,-2.15371
0.019,-2.14757
0.019,-2.14144
0.019,-2.1353
0.019,-2.12917
0.019,-2.12303
0.019,-2.11689
0.019,-2.11076
0.019,-2.10462
0.019,-2.09849
0.019,-2.09235
2.068,-2.08621
2.052,-2.08008
2.038,-2.07394
2.038,-2.06781
2.023,-2.06167
2.016,-2.05553
1.999,-2.0494
1.999,-2.04326
1.994,-2.03713
1.984,-2.03099
1.978,-2.02485
1.969,-2.01872
1.966,-2.01258
1.962,-2.00645
1.947,-2.00031
1.945,-1.99417
1.94,-1.98804
1.928,-1.9819
1.922,-1.97577
1.921,-1.96963
1.909,-1.9635
1.9,-1.95736
1.87,-1.95122
1.841,-1.94509
1.832,-1.93895
1.832,-1.93282
1.832,-1.92668
1.843,-1.92054
1.859,-1.91441
1.859,-1.90827
1.859,-1.90214
1.85,-1.896
1.849,-1.88986
1.842,-1.88373
1.838,-1.87759
1.828,-1.87146
1.828,-1.86532
1.823,-1.85918
1.819,-1.85305
1.816,-1.84691
1.816,-1.84078
1.811,-1.83464
1.799,-1.82851
1.795,-1.82237
1.795,-1.81623
1.787,-1.8101
1.779,-1.80396
1.779,-1.79783
1.778,-1.79169
1.778,-1.78555
1.775,-1.77942
1.767,-1.77328
1.762,-1.76715
1.761,-1.76101
1.757,-1.75487
1.756,-1.74874
1.751,-1.7426
1.747,-1.73647
1.746,-1.73033
1.745,-1.72419
1.739,-1.71806
1.738,-1.71192
1.729,-1.70579
1.727,-1.69965
1.727,-1.69351
1.721,-1.68738
1.72,-1.68124
1.72,-1.67511
1.717,-1.66897
1.714,-1.66284
1.712,-1.6567
1.712,-1.65056
1.709,-1.64443
1.708,-1.63829
1.706,-1.63216
1.698,-1.62602
1.698,-1.61988
1.698,-1.61375
1.695,-1.60761
1.695,-1.60148
