l, theta
2.713,-1.56466
2.715,-1.55852
2.713,-1.55239
2.712,-1.54625
2.712,-1.54012
2.717,-1.53398
2.723,-1.52784
2.723,-1.52171
2.723,-1.51557
2.723,-1.50944
2.72,-1.5033
2.713,-1.49717
2.72,-1.49103
2.72,-1.48489
2.712,-1.47876
2.712,-1.47262
2.718,-1.46649
2.717,-1.46035
2.717,-1.45421
2.718,-1.44808
2.724,-1.44194
nan,-1.43581
nan,-1.42967
nan,-1.42353
nan,-1.4174
nan,-1.41126
nan,-1.40513
nan,-1.39899
nan,-1.39285
nan,-1.38672
nan,-1.38058
2.729,-1.37445
2.729,-1.36831
2.725,-1.36217
2.721,-1.35604
2.7,-1.3499
2.697,-1.34377
2.697,-1.33763
2.697,-1.3315
2.713,-1.32536
2.718,-1.31922
2.719,-1.31309
nan,-1.30695
nan,-1.30082
nan,-1.29468
nan,-1.28854
nan,-1.28241
nan,-1.27627
nan,-1.27014
nan,-1.264
nan,-1.25786
nan,-1.25173
nan,-1.24559
nan,-1.23946
nan,-1.23332
nan,-1.22718
nan,-1.22105
nan,-1.21491
nan,-1.20878
nan,-1.20264
nan,-1.1965
nan,-1.19037
nan,-1.18423
nan,-1.1781
nan,-1.17196
nan,-1.16583
nan,-1.15969
nan,-1.15355
nan,-1.14742
nan,-1.14128
nan,-1.13515
nan,-1.12901
nan,-1.12287
nan,-1.11674
nan,-1.1106
nan,-1.10447
nan,-1.09833
nan,-1.09219
nan,-1.08606
nan,-1.07992
nan,-1.07379
nan,-1.06765
nan,-1.06151
nan,-1.05538
nan,-1.04924
nan,-1.04311
nan,-1.03697
nan,-1.03084
nan,-1.0247
nan,-1.01856
nan,-1.01243
nan,-1.00629
nan,-1.00016
nan,-0.99402
nan,-0.987884
nan,-0.981748
nan,-0.975612
nan,-0.969476
nan,-0.96334
nan,-0.957204
nan,-0.951068
nan,-0.944932
nan,-0.938796
nan,-0.93266
nan,-0.926524
nan,-0.920388
nan,-0.914253
nan,-0.908117
nan,-0.901981
nan,-0.895845
nan,-0.889709
nan,-0.883573
nan,-0.877437
nan,-0.871301
nan,-0.865165
nan,-0.859029
nan,-0.852893
nan,-0.846757
nan,-0.840621
nan,-0.834486
nan,-0.82835
nan,-0.822214
nan,-0.816078
nan,-0.809942
nan,-0.803806
nan,-0.79767
nan,-0.791534
nan,-0.785398
nan,-0.779262
nan,-0.773126
nan,-0.76699
nan,-0.760854
nan,-0.754719
nan,-0.748583
nan,-0.742447
nan,-0.736311
nan,-0.730175
nan,-0.724039
nan,-0.717903
nan,-0.711767
nan,-0.705631
nan,-0.699495
nan,-0.693359
nan,-0.687223
nan,-0.681087
nan,-0.674952
nan,-0.668816
nan,-0.66268
nan,-0.656544
nan,-0.650408
nan,-0.644272
nan,-0.638136
nan,-0.632
nan,-0.625864
nan,-0.619728
nan,-0.613592
nan,-0.607456
nan,-0.60132
nan,-0.595184
nan,-0.589049
nan,-0.582913
nan,-0.576777
nan,-0.570641
nan,-0.564505
nan,-0.558369
nan,-0.552233
nan,-0.546097
nan,-0.539961
nan,-0.533825
nan,-0.527689
nan,-0.521553
nan,-0.515417
nan,-0.509282
nan,-0.503146
nan,-0.49701
nan,-0.490874
nan,-0.484738
nan,-0.478602
nan,-0.472466
nan,-0.46633
nan,-0.460194
nan,-0.454058
nan,-0.447922
nan,-0.441786
5.251,-0.43565
5.233,-0.429515
5.228,-0.423379
5.179,-0.417243
5.162,-0.411107
5.155,-0.404971
5.134,-0.398835
5.111,-0.392699
5.09,-0.386563
5.07,-0.380427
5.042,-0.374291
5.032,-0.368155
5.018,-0.362019
4.998,-0.355884
4.97,-0.349748
4.96,-0.343612
4.945,-0.337476
4.921,-0.33134
4.904,-0.325204
4.89,-0.319068
4.871,-0.312932
4.862,-0.306796
4.836,-0.30066
4.829,-0.294524
4.804,-0.288388
4.803,-0.282252
4.787,-0.276116
4.772,-0.269981
4.764,-0.263845
4.764,-0.257709
4.764,-0.251573
5.132,-0.245437
5.134,-0.239301
5.134,-0.233165
5.132,-0.227029
5.11,-0.220893
5.105,-0.214757
5.102,-0.208621
5.09,-0.202485
5.08,-0.196349
5.071,-0.190214
5.064,-0.184078
5.064,-0.177942
5.047,-0.171806
5.042,-0.16567
5.042,-0.159534
5.042,-0.153398
5.042,-0.147262
5.042,-0.141126
5.014,-0.13499
4.992,-0.128854
4.985,-0.122718
4.982,-0.116582
4.979,-0.110446
4.979,-0.104311
4.969,-0.0981748
4.969,-0.0920389
1.311,-0.0859029
1.311,-0.079767
1.309,-0.073631
1.309,-0.0674951
1.311,-0.0613592
1.323,-0.0552232
1.324,-0.0490873
4.912,-0.0429513
4.912,-0.0368154
4.912,-0.0306795
1.378,-0.0245435
1.337,-0.0184078
1.329,-0.0122719
1.328,-0.00613594
1.31,0
1.305,0.00613594
1.29,0.0122719
1.289,0.0184078
1.276,0.0245438
1.267,0.0306797
1.26,0.0368156
1.26,0.0429516
1.259,0.0490875
1.259,0.0552235
1.26,0.0613594
1.28,0.0674951
1.288,0.073631
1.288,0.079767
1.288,0.0859029
1.288,0.0920389
1.287,0.0981748
1.284,0.104311
1.281,0.110447
1.284,0.116583
1.284,0.122719
1.286,0.128855
1.286,0.13499
1.286,0.141126
1.282,0.147262
1.279,0.153398
1.277,0.159534
1.279,0.16567
1.282,0.171806
1.283,0.177942
1.293,0.184078
1.311,0.190214
1.314,0.19635
1.319,0.202486
1.32,0.208622
1.323,0.214757
1.325,0.220893
5.025,0.227029
5.056,0.233165
5.081,0.239301
5.081,0.245437
5.088,0.251573
5.089,0.257709
5.091,0.263845
5.096,0.269981
5.102,0.276117
5.113,0.282253
5.113,0.288388
5.102,0.294524
1.347,0.30066
1.347,0.306796
1.347,0.312932
1.349,0.319068
1.372,0.325204
5.038,0.33134
5.045,0.337476
nan,0.343612
nan,0.349748
nan,0.355884
nan,0.36202
4.584,0.368155
4.492,0.374291
4.401,0.380427
4.401,0.386563
4.31,0.392699
4.31,0.398835
4.31,0.404971
4.331,0.411107
4.339,0.417243
4.346,0.423379
4.358,0.429515
4.379,0.435651
4.38,0.441787
4.388,0.447922
4.394,0.454058
nan,0.460194
nan,0.46633
nan,0.472466
4.462,0.478602
4.462,0.484738
4.462,0.490874
4.476,0.49701
4.531,0.503146
nan,0.509282
nan,0.515418
nan,0.521554
3.872,0.527689
3.872,0.533825
3.872,0.539961
3.917,0.546097
3.92,0.552233
3.924,0.558369
3.924,0.564505
3.924,0.570641
3.924,0.576777
3.924,0.582913
3.924,0.589049
nan,0.595185
nan,0.601321
nan,0.607456
nan,0.613592
3.687,0.619728
3.645,0.625864
3.645,0.632
